,Unnamed: 0,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Hotel stars,Nr. rooms,Member years,Num Traveler type,Num User country,Num Hotel name,Dummy Pool,Dummy Gym,Dummy Tennis,Dummy Spa,Dummy Casino,Dummy Free Internet,Num Review month,Num User continent
0,0,11,4,13,5,3,3773,9,1,1,1,0,1,0,0,1,1,1,1
1,1,119,21,75,3,3,3773,3,2,1,1,0,1,0,0,1,1,1,1
2,2,36,9,25,5,3,3773,2,3,1,1,0,1,0,0,1,1,2,1
3,3,14,7,14,4,3,3773,6,1,2,1,0,1,0,0,1,1,2,2
4,4,5,5,2,4,3,3773,7,5,3,1,0,1,0,0,1,1,3,1
5,5,31,8,27,3,3,3773,2,4,3,1,0,1,0,0,1,1,3,1
6,6,45,12,46,4,3,3773,4,4,2,1,0,1,0,0,1,1,4,2
7,7,2,1,4,4,3,3773,0,3,1,1,0,1,0,0,1,1,4,1
8,8,24,3,8,4,3,3773,3,1,4,1,0,1,0,0,1,1,5,3
9,9,12,7,11,3,3,3773,5,3,3,1,0,1,0,0,1,1,5,1
10,10,102,24,58,2,3,3773,9,3,1,1,0,1,0,0,1,1,6,1
11,11,20,9,24,3,3,3773,4,1,5,1,0,1,0,0,1,1,6,4
12,12,7,6,9,2,3,3773,1,1,1,1,0,1,0,0,1,1,7,1
13,13,22,5,13,3,3,3773,1,1,1,1,0,1,0,0,1,1,7,1
14,14,3,3,0,3,3,3773,1,1,2,1,0,1,0,0,1,1,8,2
15,15,146,17,33,4,3,3773,2,3,6,1,0,1,0,0,1,1,8,4
16,16,8,8,9,1,3,3773,4,3,3,1,0,1,0,0,1,1,9,1
17,17,9,3,1,4,3,3773,2,3,1,1,0,1,0,0,1,1,9,1
18,18,41,9,19,3,3,3773,2,4,3,1,0,1,0,0,1,1,10,1
19,19,8,7,26,2,3,3773,10,4,1,1,0,1,0,0,1,1,10,1
20,20,10,5,2,4,3,3773,7,4,2,1,0,1,0,0,1,1,11,2
21,21,4,3,3,1,3,3773,3,4,6,1,0,1,0,0,1,1,11,4
22,22,18,7,19,4,3,3773,0,3,2,1,0,1,0,0,1,1,12,2
23,23,4,4,3,2,3,3773,5,4,1,1,0,1,0,0,1,1,12,1
24,24,29,11,15,4,3,3981,3,4,7,2,1,1,0,1,1,1,1,2
25,25,114,42,52,4,3,3981,11,2,1,2,1,1,0,1,1,1,1,1
26,26,30,12,17,5,3,3981,8,4,3,2,1,1,0,1,1,1,2,1
27,27,87,18,36,3,3,3981,3,2,2,2,1,1,0,1,1,1,2,2
28,28,26,10,28,5,3,3981,1,5,1,2,1,1,0,1,1,1,3,1
29,29,8,7,9,5,3,3981,8,4,7,2,1,1,0,1,1,1,3,2
30,30,11,8,13,5,3,3981,7,4,3,2,1,1,0,1,1,1,4,1
31,31,4,3,2,3,3,3981,0,4,5,2,1,1,0,1,1,1,4,4
32,32,56,8,7,3,3,3981,1,5,3,2,1,1,0,1,1,1,5,1
33,33,13,12,8,3,3,3981,4,1,8,2,1,1,0,1,1,1,5,5
34,34,58,9,15,4,3,3981,0,4,5,2,1,1,0,1,1,1,6,4
35,35,20,7,4,3,3,3981,6,4,9,2,1,1,0,1,1,1,6,2
36,36,70,27,24,4,3,3981,6,1,1,2,1,1,0,1,1,1,7,1
37,37,6,3,7,4,3,3981,1,1,10,2,1,1,0,1,1,1,7,5
38,38,290,263,299,4,3,3981,10,4,1,2,1,1,0,1,1,1,8,1
39,39,24,6,9,2,3,3981,2,3,1,2,1,1,0,1,1,1,8,1
40,40,29,8,21,3,3,3981,2,2,11,2,1,1,0,1,1,1,9,2
41,41,20,5,59,3,3,3981,8,4,3,2,1,1,0,1,1,1,9,1
42,42,3,3,3,3,3,3981,4,3,12,2,1,1,0,1,1,1,10,2
43,43,47,6,27,4,3,3981,5,1,7,2,1,1,0,1,1,1,10,2
44,44,35,8,19,4,3,3981,6,3,1,2,1,1,0,1,1,1,11,1
45,45,6,0,4,4,3,3981,1,1,2,2,1,1,0,1,1,1,11,2
46,46,74,47,54,4,3,3981,7,4,2,2,1,1,0,1,1,1,12,2
47,47,34,8,30,3,3,3981,4,5,13,2,1,1,0,1,1,1,12,3
48,48,576,43,340,3,4,3003,3,4,2,3,1,1,0,1,1,0,1,2
49,49,20,8,11,4,4,3003,5,5,1,3,1,1,0,1,1,0,1,1
50,50,418,32,132,2,4,3003,3,4,1,3,1,1,0,1,1,0,2,1
51,51,73,13,22,4,4,3003,2,4,1,3,1,1,0,1,1,0,2,1
52,52,30,10,32,3,4,3003,2,4,3,3,1,1,0,1,1,0,3,1
53,53,63,15,17,4,4,3003,2,2,1,3,1,1,0,1,1,0,3,1
54,54,24,10,13,5,4,3003,5,4,14,3,1,1,0,1,1,0,4,2
55,55,54,18,16,2,4,3003,5,2,15,3,1,1,0,1,1,0,4,5
56,56,20,7,11,4,4,3003,2,4,5,3,1,1,0,1,1,0,5,4
57,57,41,7,24,4,4,3003,3,4,2,3,1,1,0,1,1,0,5,2
58,58,7,5,7,4,4,3003,9,4,7,3,1,1,0,1,1,0,6,2
59,59,13,9,15,4,4,3003,1,1,3,3,1,1,0,1,1,0,6,1
60,60,10,5,4,4,4,3003,1,3,2,3,1,1,0,1,1,0,7,2
61,61,9,6,19,3,4,3003,7,4,6,3,1,1,0,1,1,0,7,4
62,62,36,19,36,2,4,3003,5,5,16,3,1,1,0,1,1,0,8,2
63,63,33,12,19,3,4,3003,5,3,2,3,1,1,0,1,1,0,8,2
64,64,156,126,142,3,4,3003,8,1,17,3,1,1,0,1,1,0,9,3
65,65,19,17,16,4,4,3003,5,4,7,3,1,1,0,1,1,0,9,2
66,66,23,17,11,3,4,3003,1,3,1,3,1,1,0,1,1,0,10,1
67,67,13,3,3,2,4,3003,1,4,1,3,1,1,0,1,1,0,10,1
68,68,8,5,8,4,4,3003,8,4,18,3,1,1,0,1,1,0,11,2
69,69,1,0,2,1,4,3003,0,2,19,3,1,1,0,1,1,0,11,3
70,70,21,18,6,2,4,3003,0,2,20,3,1,1,0,1,1,0,12,2
71,71,56,14,36,5,4,3003,3,4,21,3,1,1,0,1,1,0,12,1
72,72,29,11,14,3,4,2884,6,2,22,4,1,1,1,1,1,1,1,2
73,73,11,5,8,4,4,2884,1,4,5,4,1,1,1,1,1,1,1,4
74,74,19,12,167,4,4,2884,9,1,3,4,1,1,1,1,1,1,2,1
75,75,17,9,16,5,4,2884,-1806,5,1,4,1,1,1,1,1,1,2,1
76,76,43,8,20,4,4,2884,1,4,1,4,1,1,1,1,1,1,3,1
77,77,12,8,3,4,4,2884,2,1,3,4,1,1,1,1,1,1,3,1
78,78,15,14,7,4,4,2884,9,1,1,4,1,1,1,1,1,1,4,1
79,79,16,13,16,3,4,2884,6,3,5,4,1,1,1,1,1,1,4,4
80,80,12,4,25,3,4,2884,1,3,4,4,1,1,1,1,1,1,5,3
81,81,10,0,5,4,4,2884,3,1,23,4,1,1,1,1,1,1,5,2
82,82,27,17,16,3,4,2884,6,3,1,4,1,1,1,1,1,1,6,1
83,83,6,5,5,4,4,2884,2,4,3,4,1,1,1,1,1,1,6,1
84,84,21,20,14,5,4,2884,3,4,5,4,1,1,1,1,1,1,7,4
